"variable","method","DP_mean","DP_sd","Precision_mean","Precision_sd","FP_mean","FP_sd","Specificity_mean","Specificity_sd","F1_Score_mean","F1_Score_sd","herd","ngenes","methodology"
16,"RF",89.9833333333333,1.84803934836533,12.5850269277512,0.290656247905781,27.8899628252788,0.616292730409213,72.1100371747212,0.616292730409214,22.0807751113962,0.481888644063467,"h2 = 0.8",120,"ML"
16,"SUPER",59.1666666666667,11.748980753786,6.33789129401883,0.272230146801811,39.1598513011152,8.52562914724423,60.8401486988848,8.52562914724423,11.4103765452632,0.440697239679673,"h2 = 0.8",120,"MM"
17,"BA",92.4416666666667,1.284970022679,49.7563367919253,0.940547888899309,16.3620437956204,0.601436134896382,83.6379562043796,0.601436134896381,64.6863055097496,0.927491389754898,"h2 = 0.8",240,"ML"
17,"BO",79.5833333333333,1.80740791079631,66.945165830975,1.84961161289056,6.8963503649635,0.559257828668396,93.1036496350365,0.559257828668393,72.7018656825157,1.46474800936864,"h2 = 0.8",240,"ML"
17,"Blink",1.5,1.08457542608861,66.1428571428571,34.9855685128158,0.072992700729927,0.0807712898062027,99.9270072992701,0.0807712898062023,2.91404171011356,2.0841332050062,"h2 = 0.8",240,"MM"
17,"CMLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",240,"MM"
17,"DT",14.6666666666667,1.04463861754668,67.3698412698413,6.20824574156032,1.27007299270073,0.356981079637616,98.7299270072993,0.356981079637621,24.0566823293472,1.61664447311408,"h2 = 0.8",240,"ML"
17,"FarmCPU",30.1666666666667,3.95374331081324,37.3780363905341,1.31477600830796,8.9051094890511,1.55156581034043,91.0948905109489,1.55156581034043,33.2089677542496,2.0038114601085,"h2 = 0.8",240,"MM"
17,"GLM",55.8333333333333,8.88880031135005,29.7369086095977,1.59635366857301,23.0656934306569,3.18031077339462,76.9343065693431,3.18031077339462,38.6389843933961,2.96467696114526,"h2 = 0.8",240,"MM"
17,"MARS 1",1.75,0.490845907811626,88,24.2436610692531,0.0437956204379562,0.0884805148512885,99.956204379562,0.0884805148512882,3.43124790899967,0.961208713785363,"h2 = 0.8",240,"ML"
17,"MARS 2",5.16666666666667,0.683876505540242,82.4285714285714,7.38528118461038,0.18978102189781,0.0751939786332427,99.8102189781022,0.0751939786332424,9.72191987031033,1.25856277286012,"h2 = 0.8",240,"ML"
17,"MARS 3",12.6666666666667,0.570932324203896,78.9847497436237,5.40204289643497,0.598540145985402,0.183002385555623,99.4014598540146,0.183002385555622,21.8239026668474,0.982017670196115,"h2 = 0.8",240,"ML"
17,"MLM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",240,"MM"
17,"MLMM",0,0,0,0,0,0,100,0,0,0,"h2 = 0.8",240,"MM"
17,"RF",91.6166666666667,1.36162584556502,47.8669929167619,1.20611845309991,17.4963503649635,0.787019410606232,82.5036496350365,0.787019410606231,62.8726415397314,1.19656076211326,"h2 = 0.8",240,"ML"
17,"SUPER",59.3333333333333,8.07683482380165,31.1526380260249,1.34479183910564,22.992700729927,3.15318536017205,77.007299270073,3.15318536017205,40.6983296296089,2.37405779771932,"h2 = 0.8",240,"MM"
